Question Number,Question (English),Question (Hindi),Option A (English),Option A (Hindi),Option B (English),Option B (Hindi),Option C (English),Option C (Hindi),Option D (English),Option D (Hindi),Correct Answer (English),Correct Answer (Hindi)
48,"You are performing the duty of first ladder staff and received newspapers, magazines, cleaning stores and supplies without subjected through security control measures. What will be your course of action?","आप पहली सीढ़ी के कर्मचारियों का कर्तव्य निभा रहे हैं और सुरक्षा नियंत्रण उपायों के अधीन बिना समाचार पत्र, पत्रिकाएं, सफाई स्टोर और आपूर्ति प्राप्त करते हैं। आपकी कार्रवाई का तरीका क्या होगा?","Accept the way it has been received for the flight.","उड़ान के लिए इसे जिस तरह से प्राप्त किया गया है, उसे स्वीकार करें।","Warn the staff for next time and accept it","अगली बार कर्मचारियों को चेतावनी दें और इसे स्वीकार करें","Make the stores and supplies to pass through X-Ray screening or else through physical check.","एक्स-रे स्क्रीनिंग के माध्यम से या भौतिक जांच के माध्यम से दुकानों और आपूर्तियों को पास करें।","Inform supervisor and accept it for the flight.","पर्यवेक्षक को सूचित करें और इसे उड़ान के लिए स्वीकार करें।","Make the stores and supplies to pass through X-Ray screening or else through physical check.","एक्स-रे स्क्रीनिंग के माध्यम से या भौतिक जांच के माध्यम से दुकानों और आपूर्तियों को पास करें।"
49,"If we found a passenger who has purchased air ticket at last minute what will be the course of action?","यदि हमें कोई यात्री मिलता है जिसने अंतिम समय में हवाई टिकट खरीदा है तो क्या कार्रवाई होगी?","Try to know the reason of purchasing ticket at the last moment by proper questioning","अंतिम समय में उचित पूछताछ कर टिकट खरीदने का कारण जानने का प्रयास करें","Don't allow to board him as he may be dangerous","उस पर चढ़ने न दें क्योंकि वह खतरनाक हो सकता है","Ask the airlines how they dare to sell the ticket at last moment","एयरलाइंस से पूछिए कि आखिरी समय में उन्होंने टिकट बेचने की हिम्मत कैसे की","As he is in hurry, his screening procedure should be diluted to clear him fast","चूंकि वह जल्दी में है, उसे तेजी से साफ करने के लिए उसकी स्क्रीनिंग प्रक्रिया को हल्का किया जाना चाहिए","Try to know the reason of purchasing ticket at the last moment by proper questioning","अंतिम समय में उचित पूछताछ कर टिकट खरीदने का कारण जानने का प्रयास करें"
50,"If you discover a suspicious device you have to inform your supervisor by use of radio communication how will you communicate?","यदि आपको एक संदिग्ध उपकरण का पता चलता है तो आपको रेडियो संचार के उपयोग से अपने पर्यवेक्षक को सूचित करना होगा कि आप कैसे संचार करेंगे?","Cannot establish R/T communication because command mechanism can be used","आर/टी संचार स्थापित नहीं कर सकता क्योंकि कमांड तंत्र का उपयोग किया जा सकता है","Cannot establish R/T communication because ambient mechanism can be used","आर/टी संचार स्थापित नहीं कर सकता क्योंकि परिवेश तंत्र का उपयोग किया जा सकता है","Establish R/T communication from a safe distance of 100 mtr","100 मीटर की सुरक्षित दूरी से आर/टी संचार स्थापित करें","Establish R/T communication from a safe distance of 25 mtr","25 मीटर की सुरक्षित दूरी से आर/टी संचार स्थापित करें","Establish R/T communication from a safe distance of 100 mtr","100 मीटर की सुरक्षित दूरी से आर/टी संचार स्थापित करें"
51,"What will be your immediate action when you find some suspicious object?","जब आपको कोई संदिग्ध वस्तु मिलती है तो आपकी तत्काल कार्रवाई क्या होगी?","Inform the CASO wait for further instruction","CASO को सूचित करें और आगे के निर्देश की प्रतीक्षा करें","Touch and verify wheather it is suspicious or not","स्पर्श करें और सत्यापित करें कि यह संदिग्ध है या नहीं","Mark the area evacuate the area and inform to all as per SOP","क्षेत्र को चिन्हित कर क्षेत्र को खाली करें और एसओपी के अनुसार सभी को सूचित करें","Only evacuate items which are near to suspicious object","केवल उन वस्तुओं को खाली करें जो संदिग्ध वस्तु के पास हों","Mark the area evacuate the area and inform to all as per SOP","क्षेत्र को चिन्हित कर क्षेत्र को खाली करें और एसओपी के अनुसार सभी को सूचित करें"
52,"In case of bomb threat you are going for search of TB but you don't know the topography of the area what will you do?","बम की धमकी के मामले में आप टीबी की खोज के लिए जा रहे हैं लेकिन आपको क्षेत्र की स्थलाकृति नहीं पता है तो आप क्या करेंगे?","No need to knows the topography countinue the search","स्थलाकृति को जानने की आवश्यकता नहीं है, खोज जारी रखें","Take help the staff familiar with the location","स्थान से परिचित कर्मचारियों की मदद लें","Can start search without familiar to Terminal Building","टर्मिनल बिल्डिंग से परिचित हुए बिना खोज शुरू कर सकते हैं","Familiarization is not yet all important for search","खोज के लिए परिचित होना अभी तक महत्वपूर्ण नहीं है","Take help the staff familiar with the location","स्थान से परिचित कर्मचारियों की मदद लें"
53,"Before search of building begins, if a searcher finds anything unusual the coordinator will decide","भवन की तलाशी शुरू होने से पहले, यदि खोजकर्ता को कुछ असामान्य लगता है तो समन्वयक निर्णय करेगा","To evacuate the building","इमारत को खाली करने के लिए","Not to evacuate the building","भवन को खाली नहीं करना है","Cancel the search","खोज रद्द करें","Ignore any unusual","किसी असामान्य बात पर ध्यान न दें","To evacuate the building","इमारत को खाली करने के लिए"
54,"A bomb threat comes, search team conducts a search and finds nothing suspicious. What would be the course of action?","बम की धमकी आती है, खोज दल तलाशी लेता है और कुछ भी संदिग्ध नहीं पाता है। कार्रवाई का तरीका क्या होगा?","Inform co-ordinator and mark area clear","समन्वयक को सूचित करें और क्षेत्र को स्पष्ट चिह्नित करें","Repeat the search","खोज दोहराएँ","No action will be taken","कोई कार्रवाई नहीं की जाएगी","No action is required for Bomb threat","बम की धमकी के लिए किसी कार्रवाई की आवश्यकता नहीं है","Inform co-ordinator and mark area clear","समन्वयक को सूचित करें और क्षेत्र को स्पष्ट चिह्नित करें"
55,"In a search of a room if weapon is detected, what action as a searcher should do?","एक कमरे की तलाशी में यदि हथियार का पता चलता है, तो एक खोजी के रूप में क्या कार्रवाई करनी चाहिए?","Immediately safe guard the weapon and notify the search co-ordinator","हथियार को तुरंत सुरक्षित रखें और खोज समन्वयक को सूचित करें","Inform the CASO and Police immediately","तुरंत कासो व पुलिस को सूचित करें","Inform the local Police immediately","तुरंत स्थानीय पुलिस को सूचित करें","No need to inform any the searcher team would done the matter later us","किसी को बताने की जरूरत नहीं है कि खोजकर्ता टीम बाद में हमसे बात करेगी","Immediately safe guard the weapon and notify the search co-ordinator","हथियार को तुरंत सुरक्षित रखें और खोज समन्वयक को सूचित करें"
56,"Before start of patrolling if petrol member of the team found an IED in a vehicle what a team should do?","गश्त शुरू करने से पहले यदि टीम के पेट्रोल सदस्य को वाहन में आईईडी मिला तो टीम को क्या करना चाहिए?","Allow the vehicle to go inside","वाहन को अंदर जाने दें","Inform team leader and do as per SOP","टीम लीडर को सूचित करें और एसओपी के अनुसार करें","Never allow the vehicle go inside airport any condition","किसी भी हालत में वाहन को एयरपोर्ट के अंदर न जाने दें","No need of any additional action required","किसी अतिरिक्त कार्रवाई की आवश्यकता नहीं है","Inform team leader and do as per SOP","टीम लीडर को सूचित करें और एसओपी के अनुसार करें"
57,"A vehicle moving within the SRA or controlled area without switch on anti- collision light, if a patrol party found it. What action they will take immediately?","एक वाहन एसआरए या नियंत्रित क्षेत्र के भीतर बिना टकराने वाली रोशनी के स्विच के बिना चल रहा है, अगर एक गश्ती दल ने इसे पाया। वे तुरंत क्या कार्रवाई करेंगे?","Stop the vehicle and takeout from area and do as per SOP","वाहन को रोकें और क्षेत्र से टेकआउट करें और एसओपी के अनुसार करें","No need to disturb a vehicle","किसी वाहन को डिस्टर्ब करने की जरूरत नहीं है","Report about the incident to concern organization","संबंधित संगठन को घटना के बारे में रिपोर्ट करें","Ignore it because it is not security concerned","इसे अनदेखा करें क्योंकि यह सुरक्षा से संबंधित नहीं है","Stop the vehicle and takeout from area and do as per SOP","वाहन को रोकें और क्षेत्र से टेकआउट करें और एसओपी के अनुसार करें"
58,"An employee reported for duty at apron without high visible jacket what action ASG will take?","एक कर्मचारी ने बिना हाई विजिबल जैकेट के एप्रन पर ड्यूटी के लिए रिपोर्ट किया, एएसजी क्या कार्रवाई करेगा?","Allow the employee","कर्मचारी को अनुमति दें","Don't allow the employee and inform team leader and do as per SOP","कर्मचारी को अनुमति न दें और टीम लीडर को सूचित करें और एसओपी के अनुसार करें","Detain the employee","कर्मचारी को हिरासत में लें","To provide high visible jacket","उच्च दृश्यमान जैकेट प्रदान करने के लिए","Don't allow the employee and inform team leader and do as per SOP","कर्मचारी को अनुमति न दें और टीम लीडर को सूचित करें और एसओपी के अनुसार करें"
59,"If a person found during patrol without SRA pass what action a patrol party to take?","यदि कोई व्यक्ति एसआरए के बिना गश्त के दौरान पाया जाता है तो एक गश्ती दल क्या कार्रवाई करेगा?","Warm him not to do so again","उसे दोबारा ऐसा न करने की चेतावनी दें","Expelled him from the premises of airport","उसे हवाई अड्डे के परिसर से बाहर निकाल दिया","Detain him and call Police","उसे हिरासत में लें और पुलिस को बुलाएं","Work as per SOP","एसओपी के अनुसार काम करें","Work as per SOP","एसओपी के अनुसार काम करें"
60,"In case of sudden light failure a radio communication should be done on what interval?","अचानक प्रकाश की विफलता के मामले में एक रेडियो संचार किस अंतराल पर किया जाना चाहिए?","Communication will be established every 60 min","हर 60 मिनट में संचार स्थापित किया जाएगा","Communication will be established every 30 min","हर 30 मिनट में संचार स्थापित किया जाएगा","communication will be continued till light comes","प्रकाश आने तक संचार जारी रहेगा","No communication should be established","कोई संचार स्थापित नहीं किया जाना चाहिए","Communication will be established every 30 min","हर 30 मिनट में संचार स्थापित किया जाएगा"
61,"What action to be taken on attempt of unauthorized access to SRA?","","Inform duty team leader and police","","Inform team leader","","No action to be taken","","Inform security manager","","Inform duty team leader and police",""
62,"In case of broken fencing what would be the task of patrol party?","बाड़ टूट जाने की स्थिति में गश्ती दल का क्या कार्य होगा?","Initiate fencing repair","बाड़ की मरम्मत शुरू करें","Inform airport operator for repair","मरम्मत के लिए एयरपोर्ट संचालक को सूचित करें","Team leader to be intimated and work as per SOP","टीम लीडर को सूचित किया जाए और एसओपी के अनुसार कार्य किया जाए","Deploy the team near broken fencing","टीम को टूटी फेंसिंग के पास तैनात करें","Team leader to be intimated and work as per SOP","टीम लीडर को सूचित किया जाए और एसओपी के अनुसार कार्य किया जाए"
63,"If a hearing disability person indicates that he does not understand the instructions, what the screener should do?","यदि सुनने में अक्षम व्यक्ति इंगित करता है कि वह निर्देशों को नहीं समझता है, तो स्क्रीनर को क्या करना चाहिए?","look directly at him and repeat information slowly by screener","उसे सीधे देखें और स्क्रीनर द्वारा धीरे-धीरे जानकारी को दोहराएं","No need to see any disability","किसी अक्षमता को देखने की जरूरत नहीं है","Ignore the disability feature and continue screening","विकलांगता के लक्षण पर ध्यान न दें और स्क्रीनिंग जारी रखें","Will Apply less concentration performing and screening on humanity ground","मानवता के धरातल पर प्रदर्शन और स्क्रीनिंग में कम एकाग्रता लगाएंगे","look directly at him and repeat information slowly by screener","उसे सीधे देखें और स्क्रीनर द्वारा धीरे-धीरे जानकारी को दोहराएं"
64,"If a pax comes to you and says that he is a diabetic patient. He is having unused syringes in bulk. What is your course of action?","यदि कोई व्यक्ति आपके पास आकर कहे कि वह मधुमेह का रोगी है। उसके पास बड़ी मात्रा में अप्रयुक्त सीरिंजें हैं। आपकी कार्रवाई का तरीका क्या है?","Detain the passenger and inform the supervisor","यात्री को रोकें और पर्यवेक्षक को सूचित करें","Ask the pax to carry the syringes in checked baggage","पैक्स को चेक किए गए सामान में सीरिंज ले जाने के लिए कहें","See the documents and allow in carry-on baggage","दस्तावेज़ देखें और कैरी-ऑन बैगेज में अनुमति दें","Syringe is not a prohibited item, so it will be allowed","सिरिंज प्रतिबंधित वस्तु नहीं है, इसलिए इसकी अनुमति दी जाएगी","See the documents and allow in carry-on baggage","दस्तावेज़ देखें और कैरी-ऑन बैगेज में अनुमति दें"
65,"A pax comes and says that he has implanted pacemaker and he does not want to walk through DFMD?","एक पैक्स आता है और कहता है कि उसने पेसमेकर लगाया है और वह DFMD से नहीं चलना चाहता है?","Follow' no search, no fly'","'नो सर्च, नो फ्लाई' को फॉलो करें","Convince the passenger that DFMD is safe for pacemaker","यात्री को समझाएं कि डीएफएमडी पेसमेकर के लिए सुरक्षित है","Conduct pat down search","पैट डाउन सर्च करें","Both B and C","","Both B and C",""
66,"A Passenger reported for screening having crutches is not fit through the X-Ray machine what the screener should do?","स्क्रीनिंग के लिए रिपोर्ट किया गया एक यात्री बैसाखी के साथ एक्स-रे मशीन के माध्यम से फिट नहीं है, स्क्रीनर को क्या करना चाहिए?","Hand inspection of equipment will be done","उपकरणों का हाथ से निरीक्षण किया जाएगा","Passenger will not be allowed","यात्री की अनुमति नहीं होगी","On humanity ground, that is allowed","मानवता के आधार पर, इसकी अनुमति है","Passenger will be allowed without crutches","यात्री को बिना बैसाखी के जाने दिया जाएगा","Hand inspection of equipment will be done","उपकरणों का हाथ से निरीक्षण किया जाएगा"
67,"A screener found insulin pump in the hand baggage of pax while x-ray screening. what he should do?","एक स्क्रिनर को एक्स-रे स्क्रीनिंग के दौरान पैक्स के हैंड बैगेज में इंसुलिन पंप मिला। उसे क्या करना चाहिए?","Insulin is not prohibited item so allow the passenger","इंसुलिन निषिद्ध वस्तु नहीं है इसलिए यात्री को अनुमति दें","Insulin is not allowed","इंसुलिन की अनुमति नहीं है","Insulin should be carried in registered baggage","इंसुलिन को पंजीकृत सामान में ले जाना चाहिए","Ensure insulin must accompany printed label","सुनिश्चित करें कि इंसुलिन मुद्रित लेबल के साथ होना चाहिए","Ensure insulin must accompany printed label","सुनिश्चित करें कि इंसुलिन मुद्रित लेबल के साथ होना चाहिए"
68,"A pregnant woman comes and denies to be screened through metal detector. What action would you take as a screener?","कोई गर्भवती महिला आती है और मेटल डिटेक्टर से जांच कराने से मना कर देती है। एक स्क्रिनर के रूप में आप क्या कार्रवाई करेंगे?","Don't allow without metal detector check","बिना मेटल डिटेक्टर जांच के अनुमति न दें","Convince that the metal detector is safe for pregnant woman","समझाएं कि मेटल डिटेक्टर गर्भवती महिला के लिए सुरक्षित है","Conduct pat down search","पैट डाउन सर्च करें","She is bound to go through metal detector","वह मेटल डिटेक्टर से गुजरने के लिए बाध्य है","Conduct pat down search","पैट डाउन सर्च करें"
69,"If a pax comes and demands for wheel chairs from a screener what he should do?","यदि कोई पैक्स आता है और स्क्रिनर से व्हील चेयर की मांग करता है तो उसे क्या करना चाहिए?","Don't provide because it is not security concern","प्रदान न करें क्योंकि यह सुरक्षा चिंता का विषय नहीं है","Don't hesitate to offer wheel chair","व्हील चेयर देने में संकोच न करें","Call airline staff to facilitate the passenger","यात्री की सुविधा के लिए एयरलाइन स्टाफ को कॉल करें","Ask the passenger to contact concerned airport operator","यात्री को संबंधित एयरपोर्ट ऑपरेटर से संपर्क करने के लिए कहें","Call airline staff to facilitate the passenger","यात्री की सुविधा के लिए एयरलाइन स्टाफ को कॉल करें"
70,"If a passenger becomes too violent, to be controlled, a restraint should be used on the passenger until the passenger is handed over to","यदि कोई यात्री इतना हिंसक हो जाता है कि नियंत्रित नहीं किया जा सकता है, तो यात्री को को सौंपे जाने तक यात्री पर संयम का प्रयोग किया जाना चाहिए।","ASG","","Immigration","","law enforcement authority","","Airline security","","law enforcement authority",""
71,"Miss Ragini travels from Delhi to Hyderabad on jet airways flight 9W 213 and from Hyderabad to Tirupati on the same flight She will be termed as","सुश्री रागिनी जेट एयरवेज की उड़ान 9W 213 में दिल्ली से हैदराबाद की यात्रा करती हैं और उसी उड़ान से हैदराबाद से तिरुपति की यात्रा करती हैं, उन्हें कहा जाएगा","Interline passenger","","Transfer passenger","","Transit","","Inline","","Transit",""
72,"Mr. Rajesh travels from Delhi to Hyderabad on jet airways flight 9W 213 and from Hyderabad to Tirupati on 9W 224 the same flight he will be termed as","श्री राजेश जेट एयरवेज की उड़ान 9W 213 पर दिल्ली से हैदराबाद की यात्रा करते हैं और हैदराबाद से तिरुपति की यात्रा 9W 224 उसी उड़ान से करते हैं, उन्हें कहा जाएगा","Interline passenger","","Transfer passenger","","Transit","","Inline","","Transfer passenger",""
73,"Miss Ranjeeta travels from Delhi to Hyderabad on jet airways flight 9W 213 and from Hyderabad to Tirupati on the IC 2121 she will be termed as","कुमारी रंजीता जेट एयरवेज की उड़ान 9W 213 में दिल्ली से हैदराबाद की यात्रा करती हैं और IC 2121 पर हैदराबाद से तिरुपति की यात्रा करती हैं, उन्हें कहा जाएगा","Interline passenger","","Transfer passenger","","Transit","","Inline","","Interline passenger",""
74,"Ram is travelling to Delhi from Hyderabad he is suffering from the disease of fits, while checking up it is found that he is a patient of epilepsy which rule will be applied to him","राम हैदराबाद से दिल्ली जा रहा है, दौरे की बीमारी से पीड़ित है, जाँच करने पर पता चला कि वह मिर्गी का रोगी है, उस पर कौन सा नियम लागू होगा","Rule 24 A","","Rule 24 B","","Rule 24","","Rule 24 C","","Rule 24 B",""
75,"Roshan is traveling to Goa along with his Girl friend) When he boarded the flight and flight roll out from apron one of his co-passenger Rodrig starts molesting his girl friend) Mr Rodrig is a","रोशन अपनी गर्ल फ्रेंड के साथ गोवा जा रहा है। जब वह एप्रन से फ्लाइट और फ्लाइट रोल आउट करता है तो उसका एक सह-यात्री रोड्रिग उसकी गर्ल फ्रेंड से छेड़छाड़ करना शुरू कर देता है। श्री रोड्रिग एक हैं","Disruptive","","Unruly","","Criminal","","Eveteaser","","Unruly",""
76,"After embarkation in a flight which is in maneuvering area Ranjeet says that one of my friend has captured pilot in command now the flight is under my control Ranjeet is committing ----- offence","एक उड़ान में सवार होने के बाद जो युद्धाभ्यास क्षेत्र में है रणजीत कहता है कि मेरे एक मित्र ने पायलट को कमांड में पकड़ लिया है अब उड़ान मेरे नियंत्रण में है रणजीत ----- अपराध कर रहा है","Threatening","","Commandering","","Hijacking","","looting","","Hijacking",""
77,"Aerosols comes under which category of dangerous goods?","","Flammable liquids","","Gases","","Flammable solids","","Oxidizers","","Gases",""
78,"Rakesh is a COE who is authorized by law to carry explosives, what is the full form of COE","राकेश एक COE है जो कानूनी रूप से विस्फोटक ले जाने के लिए अधिकृत है, COE का पूर्ण रूप क्या है","Controller ordinance explosive","","Controller of explosive","","Commander of explosive","","Controller of explosion","","Controller of explosive",""
79,"Ram told Shyam that ICAO is the out come of the convention held in 1944, Ram is talking about which convention","राम ने श्याम से कहा कि आईसीएओ 1944 में हुए अधिवेशन का परिणाम है, राम किस अधिवेशन की बात कर रहे हैं","Montreal Convention","मॉन्ट्रियल कन्वेंशन","Hague Convention","हेग कन्वेंशन","Chicago convention","शिकागो सम्मेलन","Tokyo Convention","टोक्यो कन्वेंशन","Chicago convention","शिकागो सम्मेलन"
80,"Rajat told Sita that Hijacking was first defined in the convention which is held in 1970 he is talking about which convention","रजत ने सीता से कहा कि अपहरण को पहली बार 1970 में हुए सम्मेलन में परिभाषित किया गया था, वह किस सम्मेलन के बारे में बात कर रहा है","Montreal Convention","","Hague Convention","","Chicago convention","","Tokyo Convention","","Hague Convention",""
81,"Rajeev asked Surabhi that the definition of Aircraft in Flight is defined in the convention held on 1963 he is talking about which convention","राजीव ने सुरभि से पूछा कि 1963 के अधिवेशन में वायुयान की परिभाषा परिभाषित की गई है, वह किस परिपाटी की बात कर रहा है?","Montreal Convention","","Hague Convention","","Chicago convention","","Tokyo Convention","","Tokyo Convention",""
82,"Rosy is travelling to Goa from Delhi. She has deposited 02 baggage's at the Jet Airways counter and boarded the flight after completion of Pre-embarkation security check. On arrival at Goa she found that her bags were not loaded in that flight. Her baggage will be termed as?","रोजी दिल्ली से गोवा की यात्रा कर रही है। उसने जेट एयरवेज के काउंटर पर 02 सामान जमा किया है और पूर्व-उड़ान सुरक्षा जांच पूरी करने के बाद उड़ान में सवार हुई है। गोवा पहुंचने पर उसने पाया कि उस फ्लाइट में उसका बैग लोड नहीं था। उसके सामान के रूप में कहा जाएगा?","Unclaimed baggage","","Missed Baggage","","Unidentified Baggage","","Mishandled Baggage","","Mishandled Baggage",""
83,"A diplomat arrived at airport authority control room to collect diplomatic bag. What will not be the correct procedure to be followed?","एयरपोर्ट अथॉरिटी के कंट्रोल रूम में एक डिप्लोमैट डिप्लोमैटिक बैग लेने पहुंचा। पालन की जाने वाली सही प्रक्रिया क्या नहीं होगी?","They will report to the airport authority control room","वे एयरपोर्ट अथॉरिटी कंट्रोल रूम को रिपोर्ट करेंगे","They will be issued temporary pass","उन्हें अस्थाई पास जारी किया जाएगा","Airport authority vehicle has to be provided","एयरपोर्ट अथॉरिटी का वाहन उपलब्ध कराना होगा","Diplomat has to go through back ground check","डिप्लोमैट को बैक ग्राउंड चेक से गुजरना होगा","Diplomat has to go through back ground check","डिप्लोमैट को बैक ग्राउंड चेक से गुजरना होगा"
84,"Jooly while travelling from Bengaluru to Hyderabad forgot to collect her Checked-in bag in the arrival hall at Hyderabad) The bag will be called","बेंगलुरु से हैदराबाद की यात्रा के दौरान जूली अपना चेक-इन बैग हैदराबाद के आगमन हॉल में लेना भूल गई। बैग कहा जाएगा","Unattended Bag","","Unidentified Bag","","Unclaimed Bag","","Mishandled Bag","","Unclaimed Bag",""
85,"Ruchika while travelling from Bengaluru to Hyderabad forgot to collect her in the SHA at Bengaluru. The bag will be called","रुचिका बेंगलुरु से हैदराबाद की यात्रा के दौरान उसे बेंगलुरु के SHA में लेना भूल गई। बैग कहा जाएगा","Unattended Bag/ Unidentified","","Unaccompanied bag","","Unclaimed Bag","","Mishandled Bag","","Unattended Bag/ Unidentified",""
86,"Sunaina sleeps in the SHA after completion of Pre-Embarkation Security Check and missed her flight. She will be called","सुनैना प्री-इम्बार्केशन सुरक्षा जांच पूरी होने के बाद एसएचए में सोती है और उसकी उड़ान छूट जाती है। उसे बुलाया जाएगा","No Show Passenger","","Gate No-Show Passenger","","Unrully Pasenger","","Disruptive Passenger","","Gate No-Show Passenger",""
87,"An article is looking like a knife but is made of wood, what will you do when you detect such item:","एक वस्तु चाकू की तरह दिखती है लेकिन लकड़ी से बनी है. ऐसी वस्तु का पता चलने पर आप क्या करेंगे:","Will be removed","हटा दिया जाएगा","Local police should be informed","स्थानीय पुलिस को सूचना देनी चाहिए","Supervisor should be informed","पर्यवेक्षक को अवगत कराया जाए","Both A & C","","Both A & C",""
88,"What is the fragmentation effect of explosion of TNT?","टीएनटी के विस्फोट का विखंडन प्रभाव क्या है?","25,000 km/hrs","25,000 किमी/घंटा","6000 km/hrs","6000 किमी/घंटा","60-100 FEET","60-100 फीट","20,000 km/hrs","20,000 किमी/घंटा","25,000 km/hrs","25,000 किमी/घंटा"
89,"Which of the following agency is not the part of BTAC in specific threat?","निम्नलिखित में से कौन सी एजेंसी विशिष्ट खतरे में बीटीएसी का हिस्सा नहीं है?","Local Police","","BDDS","","APD","","RD BCAS","","RD BCAS",""
90,"Patrolling is carried out at?","पेट्रोलिंग की जाती है?","Building","","Perimeter side roads","","ATC","","Check-in-area","","Perimeter side roads",""
91,"CHTF belongs from which force?","सीएचसीपी किस बल से संबंधित है?","Indian army","","NSG","","Local Police","","ASG","","NSG",""
92,"Access control points equipments should be in good working conditions this is....","एक्सेस कंट्रोल पॉइंट उपकरण अच्छी कामकाजी परिस्थितियों में होना चाहिए...","Requirement of DGCA","डीसीजीए की आवश्यकता","We must not disclose it to passenger","हमें इसे यात्री के सामने प्रकट नहीं करना चाहिए","For better access control","","It can lead to passenger facilitation","इससे यात्रियों को सुविधा हो सकती है","Requirement of DGCA","डीसीजीए की आवश्यकता"
93,"Which one is not related to aviation security?","कौन सा उड्डयन सुरक्षा से संबंधित नहीं है?","Aircraft Act 1934","","Aircraft Rule 1937","","AAI Act 1994","","RTI Act 2005","","RTI Act 2005",""
94,"Break down of X-BIS machine is recorded in which register?","एक्स-बीआईएस मशीन का टूटना किस रजिस्टर में दर्ज किया जाता है?","X-BIS maintanence registor","","Screeners log book","","Physical check register","","S.O.P.","","Screeners log book",""
95,"AVSEC Awareness training (Refresher) is provided after how much time?","AVSEC जागरूकता प्रशिक्षण (पुनश्चर्या) कितने समय के बाद प्रदान किया जाता है?","Once in a year","","After reissue If AEP","","Once in 2 Years","","Once in 5 years","","Once in a year",""
96,"If you are deployed at airlines counters, what will be your duty?","यदि आप एयरलाइन काउंटरों पर तैनात हैं, तो आपका क्या कर्तव्य होगा?","Survillance of the counter","काउंटर की उत्तरजीविता","Checking of passenger and it,s documents","यात्री और उसके दस्तावेजों की जांच","Facilitating passengers","यात्रियों को सुविधा","Helping airline staff to enhance security","सुरक्षा बढ़ाने के लिए एयरलाइन कर्मचारियों की मदद करना","Helping airline staff to enhance security","सुरक्षा बढ़ाने के लिए एयरलाइन कर्मचारियों की मदद करना"
97,"What is the full form of RAW?","रॉ का पूर्ण रूप क्या है?","Research and Analysis Wing","","Research Army Wing","","Raw materials","","Registered weapons","","Research and Analysis Wing",""
98,"Which of the following is not used for passenger searching?","यात्रियों की खोज के लिए निम्नलिखित में से किसका उपयोग नहीं किया जाता है?","WTMD","","HHMD","","DFMD","","MRTD","","MRTD",""
99,"The.. weapon achieve their intended effects by infecting people with deliberate release of dangerous BACTERIA, VIRUS etc....?","..हथियार जानबूझकर लोगों को खतरनाक बैक्टीरिया, वायरस आदि के रिलीज के साथ संक्रमित करके अपने इच्छित प्रभाव को प्राप्त करता है...?","Chemical","","Biological","","Nuclear","","Radiological","","Biological",""
100,"Straight razor blade falls under which category of prohibited items?","सीधा उस्तरा किस श्रेणी की निषिद्ध वस्तुओं के अंतर्गत आता है?","Weapon","","Explosive","","Stunning device","","Sharp and pointed edged objectss","","Sharp and pointed edged objectss",""
101,"In civil aviation, industries have developed various counter measures to counter the threat. One of the measures is..?","नागरिक उड्डयन में, उद्योगों ने खतरे का मुकाबला करने के लिए विभिन्न काउंटर उपाय विकसित किए हैं। उपायों में से एक है..?","Technical","तकनीकी","Presumption","अनुमान","Theoretical","सैद्धांतिक","Hypothesis","परिकल्पना","Technical","तकनीकी"
102,"Which annexure contains Standards and Recommended Practices (SARPs) related to customs, immigration, public health, and agriculture, aiming to streamline the clearance of aircraft, passengers, and cargo at airports.?","किस अनुलग्नक में सीमा शुल्क, आव्रजन, सार्वजनिक स्वास्थ्य और कृषि से संबंधित मानक और अनुशंसित अभ्यास (SARP) शामिल हैं, जिसका उद्देश्य हवाई अड्डों पर विमान, यात्रियों और कार्गो की निकासी को सुव्यवस्थित करना है।","Annex 18","","Annex 19","","Annex 9","","Annex 17","","Annex 9",""
103,"What are the arrangements to mitigate the risk of drive in attacks into the terminal building?","टर्मिनल भवन में ड्राइव-इन हमलों के जोखिम को कम करने के लिए क्या व्यवस्थाएं हैं?","Metal barriers and bollards","","Drop Arm barrier","","Regular patrols of public area","","nakas","","Metal barriers and bollards",""
104,"What is the duty of ASG deployed at the entry point of the airside gate of the cargo terminal?","कार्गो टर्मिनल के एयरसाइड गेट के प्रवेश बिंदु पर तैनात एएसजी का क्या कर्तव्य है?","Security sticker pasted on the ULD/palletized cargo","यूएलडी/पैलेटाइज्ड कार्गो पर चिपकाया गया सुरक्षा स्टिकर।","Countersign on cargo manifest","कार्गो मेनिफेस्ट पर काउंटरसाइन","Access control of persons/ vehicles","व्यक्तियों/वाहनों का प्रवेश नियंत्रण","All the above","उपरोक्त सभी","All the above","उपरोक्त सभी"
105,"A document signed by a person authorised by a known consignor or regulated agent certifying that the consignment to which the document refers is known cargo or mail which has been secured in accordance with the relevant aviation security measures? This document is known as?","नोन कंसिग्नर या रेगुलेटेड एजेंट द्वारा अधिकृत व्यक्ति द्वारा हस्ताक्षरित एक दस्तावेज जो यह प्रमाणित करता है कि जिस खेप का दस्तावेज संदर्भ देता है वह ज्ञात कार्गो या मेल है जिसे प्रासंगिक विमानन सुरक्षा उपायों के अनुसार सुरक्षित किया गया है? इस दस्तावेज को किस नाम से जाना जाता है","Airway bill","","Cargo manifest","","Consignment Security Declaration","","Declaration Certificate","","Consignment Security Declaration",""
